Transaction_ID,Customer_ID,Brand,Age_Group,Gender,City_Tier,City,Sales_Channel,Season,Product_Category,Unit_Price_INR,Quantity,Subtotal_INR,Discount_Pct,Final_Amount_INR,Rating,Review_Count,Payment_Method,Purchase_Frequency,Repeat_Purchase
TXN16733296,CUST271922,Zudio,25-34,Male,Tier 3,Ranchi,Online,Summer,Shirts,870,1,870,20,696,4.2,16,UPI,One-time,0
TXN14072911,CUST388091,Westside,35-44,Male,Tier 1,Pune,Offline,Festive,Ethnic Wear,2340,1,2340,40,1404,4.6,6,UPI,Occasional,1
TXN89337104,CUST951170,Zudio,18-24,Male,Tier 2,Vadodara,Offline,Winter,Footwear,1310,1,1310,30,917,3.2,8,Card,One-time,0
TXN54870007,CUST281137,Zudio,35-44,Female,Tier 2,Vadodara,Online,Festive,Footwear,1310,1,1310,15,1114,4.2,26,NetBanking,Regular,1
TXN74346878,CUST778134,Westside,45-54,Male,Tier 3,Gwalior,Offline,Summer,Shirts,1270,1,1270,30,889,4.4,5,Wallet,Occasional,1
TXN28557905,CUST940007,Westside,35-44,Male,Tier 3,Ranchi,Online,Summer,Ethnic Wear,2150,2,4300,15,3655,3.3,19,Card,Occasional,1
TXN61720977,CUST732747,Westside,25-34,Other,Tier 1,Mumbai,Offline,Winter,Footwear,1870,1,1870,20,1496,4.2,2,Cash,Occasional,1
TXN24862952,CUST039186,Zudio,25-34,Male,Tier 2,Vadodara,Offline,Festive,Shirts,1040,3,3120,20,2496,3.7,6,UPI,One-time,0
TXN47715781,CUST400044,Zudio,45-54,Male,Tier 2,Surat,Offline,Winter,T-Shirts,650,1,650,25,488,4.6,5,Cash,Occasional,1
TXN15715741,CUST926987,Westside,25-34,Female,Tier 1,Pune,Online,Summer,Ethnic Wear,2290,1,2290,25,1718,4.4,14,Wallet,One-time,0
TXN54226936,CUST792172,Westside,25-34,Female,Tier 1,Pune,Offline,Summer,Accessories,540,1,540,10,486,3.9,7,UPI,One-time,0
TXN25083712,CUST974629,Westside,18-24,Male,Tier 2,Vadodara,Offline,Winter,Shirts,1090,2,2180,10,1962,4.3,9,Wallet,One-time,0
TXN14991639,CUST030375,Westside,25-34,Male,Tier 2,Coimbatore,Offline,Festive,Jeans,1770,2,3540,30,2478,4.6,2,Cash,One-time,0
TXN10918260,CUST859846,Zudio,45-54,Other,Tier 1,Chennai,Offline,Festive,Trousers,1170,3,3510,10,3159,3.5,4,UPI,Regular,1
TXN60095831,CUST943646,Westside,25-34,Male,Tier 1,Hyderabad,Offline,Winter,Shirts,1180,2,2360,15,2006,4.4,8,Card,Regular,1
TXN97643005,CUST889593,Zudio,55+,Male,Tier 2,Lucknow,Offline,Winter,T-Shirts,640,2,1280,0,1280,4.1,9,UPI,Frequent,1
TXN42650601,CUST497443,Zudio,25-34,Male,Tier 3,Nashik,Offline,Summer,T-Shirts,570,1,570,5,542,5.0,9,Cash,Regular,1
TXN50413546,CUST487577,Zudio,18-24,Male,Tier 2,Jaipur,Online,Monsoon,Kids Wear,660,2,1320,10,1188,4.3,14,UPI,One-time,0
TXN84063664,CUST680056,Westside,25-34,Male,Tier 3,Mysuru,Online,Summer,T-Shirts,1020,1,1020,5,969,3.8,15,UPI,Occasional,1
TXN35419971,CUST796323,Zudio,25-34,Male,Tier 2,Nagpur,Offline,Festive,Jeans,1390,1,1390,20,1112,4.4,5,UPI,One-time,0
TXN55862033,CUST047624,Zudio,35-44,Female,Tier 1,Bengaluru,Offline,Winter,Footwear,1160,1,1160,0,1160,3.9,12,UPI,One-time,0
TXN93122024,CUST404864,Westside,18-24,Female,Tier 1,Kolkata,Offline,Monsoon,Footwear,1540,1,1540,0,1540,3.8,10,UPI,Frequent,1
TXN54297552,CUST944006,Westside,35-44,Female,Tier 1,Pune,Offline,Festive,Dresses,2230,1,2230,25,1672,4.8,8,Cash,Regular,1
TXN52192221,CUST613254,Zudio,35-44,Female,Tier 2,Vadodara,Online,Festive,Trousers,1210,1,1210,30,847,4.4,22,Wallet,Frequent,1
TXN38460194,CUST404269,Zudio,18-24,Male,Tier 1,Pune,Offline,Summer,Dresses,1490,2,2980,0,2980,5.0,8,Card,Regular,1
TXN46761284,CUST359939,Zudio,25-34,Other,Tier 1,Bengaluru,Online,Winter,T-Shirts,620,1,620,5,589,4.4,18,Wallet,Occasional,1
TXN97298212,CUST004042,Zudio,25-34,Male,Tier 2,Lucknow,Offline,Festive,T-Shirts,670,1,670,20,536,3.6,8,Cash,Frequent,1
TXN71568441,CUST958563,Zudio,18-24,Female,Tier 3,Gwalior,Online,Festive,Dresses,1640,1,1640,30,1148,5.0,19,Card,Occasional,1
TXN95350377,CUST278299,Zudio,18-24,Male,Tier 1,Pune,Online,Summer,Trousers,1240,1,1240,5,1178,3.8,16,NetBanking,One-time,0
TXN03118031,CUST916936,Zudio,18-24,Female,Tier 3,Jodhpur,Offline,Summer,T-Shirts,600,1,600,20,480,4.6,8,Card,Frequent,1
TXN48572106,CUST196188,Zudio,35-44,Male,Tier 2,Indore,Online,Festive,T-Shirts,710,1,710,10,639,4.1,17,UPI,Regular,1
TXN33104767,CUST601146,Zudio,18-24,Male,Tier 2,Patna,Offline,Winter,Jeans,1430,2,2860,20,2288,4.3,3,Card,Regular,1
TXN29126898,CUST317729,Zudio,25-34,Female,Tier 2,Patna,Offline,Winter,T-Shirts,640,1,640,20,512,3.4,8,Cash,Occasional,0
TXN68003008,CUST018520,Westside,18-24,Female,Tier 1,Kolkata,Offline,Festive,T-Shirts,950,1,950,20,760,3.4,8,UPI,Frequent,1
TXN83783063,CUST667183,Westside,35-44,Female,Tier 2,Jaipur,Online,Summer,Kids Wear,1030,2,2060,0,2060,3.9,23,Card,One-time,0
TXN06455867,CUST043508,Zudio,35-44,Male,Tier 2,Bhopal,Online,Winter,Shirts,920,3,2760,25,2070,3.8,17,UPI,Regular,1
TXN83293396,CUST808539,Zudio,25-34,Female,Tier 1,Hyderabad,Online,Summer,Jeans,1360,1,1360,20,1088,4.2,27,Card,One-time,0
TXN46338291,CUST441811,Zudio,18-24,Female,Tier 1,Pune,Offline,Festive,Trousers,1460,1,1460,20,1168,5.0,7,UPI,Regular,1
TXN72187993,CUST613043,Zudio,25-34,Male,Tier 3,Dehradun,Offline,Festive,Jeans,1350,1,1350,40,810,3.7,6,UPI,One-time,0
TXN07798133,CUST784071,Westside,25-34,Female,Tier 1,Mumbai,Offline,Winter,Dresses,2050,1,2050,30,1435,3.5,12,Card,Occasional,1
TXN86032192,CUST673402,Westside,45-54,Female,Tier 1,Chennai,Offline,Festive,Jeans,1790,1,1790,25,1342,4.0,9,UPI,Occasional,1
TXN26392214,CUST326071,Westside,25-34,Female,Tier 2,Bhopal,Offline,Festive,T-Shirts,920,2,1840,20,1472,3.4,6,UPI,Occasional,0
TXN24661401,CUST911009,Westside,18-24,Female,Tier 3,Jodhpur,Offline,Winter,Ethnic Wear,2320,2,4640,10,4176,4.4,6,UPI,Regular,1
TXN74187137,CUST714239,Westside,25-34,Female,Tier 2,Nagpur,Offline,Festive,T-Shirts,950,2,1900,15,1615,3.2,5,UPI,Occasional,0
TXN00054194,CUST715396,Westside,25-34,Male,Tier 2,Bhopal,Online,Monsoon,Trousers,1710,1,1710,10,1539,3.7,15,UPI,Occasional,0
TXN50185715,CUST680796,Zudio,18-24,Female,Tier 3,Nashik,Offline,Monsoon,Dresses,1530,1,1530,0,1530,5.0,9,UPI,Regular,1
TXN50546412,CUST460721,Zudio,25-34,Male,Tier 1,Mumbai,Online,Festive,Shirts,850,1,850,25,638,3.8,13,UPI,One-time,0
TXN03203011,CUST504114,Westside,35-44,Male,Tier 1,Pune,Offline,Winter,Ethnic Wear,2200,1,2200,0,2200,3.6,3,UPI,One-time,0
TXN36963315,CUST377539,Zudio,18-24,Male,Tier 1,Pune,Online,Monsoon,Jeans,1420,1,1420,30,994,4.5,13,UPI,Frequent,1
TXN58292152,CUST743720,Westside,25-34,Male,Tier 1,Hyderabad,Offline,Winter,Footwear,1710,2,3420,15,2907,3.6,10,UPI,One-time,0
TXN29172958,CUST450124,Westside,18-24,Female,Tier 2,Surat,Online,Winter,Dresses,2280,1,2280,10,2052,4.1,16,UPI,One-time,0
TXN63725565,CUST607616,Zudio,55+,Female,Tier 1,Bengaluru,Offline,Festive,Footwear,1050,1,1050,30,735,3.8,12,Cash,Frequent,1
TXN12383399,CUST118576,Zudio,25-34,Female,Tier 2,Bhopal,Offline,Festive,Ethnic Wear,1550,1,1550,40,930,4.4,7,Cash,Occasional,1
TXN33673372,CUST086600,Zudio,45-54,Female,Tier 3,Gwalior,Offline,Monsoon,Trousers,1220,2,2440,10,2196,2.8,9,UPI,One-time,0
TXN76087031,CUST215268,Zudio,35-44,Female,Tier 2,Vadodara,Online,Festive,Ethnic Wear,1680,1,1680,15,1428,3.8,14,UPI,Regular,1
TXN67793452,CUST465053,Zudio,35-44,Male,Tier 1,Bengaluru,Offline,Festive,Jeans,1400,1,1400,20,1120,3.1,4,Card,Occasional,0
TXN01041994,CUST481048,Zudio,45-54,Male,Tier 2,Indore,Offline,Summer,Ethnic Wear,1870,1,1870,10,1683,3.5,6,UPI,Occasional,0
TXN28223265,CUST792010,Westside,25-34,Female,Tier 1,Mumbai,Offline,Summer,Footwear,1630,1,1630,0,1630,4.2,3,UPI,Regular,1
TXN06135275,CUST669747,Westside,25-34,Female,Tier 3,Ranchi,Offline,Winter,Footwear,1610,1,1610,0,1610,4.4,7,Cash,Occasional,0
TXN66462922,CUST551570,Zudio,35-44,Male,Tier 1,Ahmedabad,Offline,Festive,Accessories,470,2,940,20,752,4.3,7,UPI,Occasional,1
TXN15161367,CUST526014,Westside,55+,Other,Tier 2,Coimbatore,Offline,Summer,Dresses,2150,1,2150,10,1935,4.1,11,Cash,One-time,0
TXN20013116,CUST306405,Westside,18-24,Male,Tier 2,Jaipur,Online,Winter,Jeans,1740,2,3480,5,3306,2.8,19,UPI,Regular,1
TXN43409446,CUST780858,Zudio,18-24,Other,Tier 1,Ahmedabad,Offline,Winter,Accessories,450,3,1350,15,1148,3.9,5,Cash,Occasional,1
TXN61336377,CUST486252,Zudio,18-24,Male,Tier 2,Nagpur,Offline,Monsoon,Dresses,1360,2,2720,5,2584,3.7,5,UPI,Occasional,0
TXN33475468,CUST683301,Zudio,18-24,Female,Tier 3,Jodhpur,Offline,Festive,Shirts,870,2,1740,45,957,2.5,9,UPI,Frequent,1
TXN59517737,CUST395898,Westside,25-34,Male,Tier 1,Mumbai,Offline,Festive,Jeans,1800,1,1800,10,1620,5.0,10,Cash,Occasional,1
TXN68890661,CUST863265,Zudio,25-34,Female,Tier 1,Kolkata,Offline,Winter,Jeans,1370,1,1370,20,1096,3.5,6,UPI,One-time,0
TXN11521326,CUST741265,Zudio,18-24,Female,Tier 1,Mumbai,Online,Winter,Kids Wear,820,1,820,25,615,3.8,17,Card,Frequent,1
TXN91460005,CUST928095,Zudio,35-44,Male,Tier 1,Mumbai,Offline,Summer,Shirts,900,3,2700,5,2565,3.9,4,Card,One-time,0
TXN51310493,CUST900730,Zudio,18-24,Male,Tier 3,Nashik,Offline,Summer,T-Shirts,610,1,610,15,518,4.1,5,UPI,Occasional,1
TXN40984553,CUST231081,Zudio,25-34,Female,Tier 3,Jodhpur,Offline,Winter,Jeans,1300,1,1300,5,1235,3.9,6,Card,One-time,0
TXN91001726,CUST354611,Westside,18-24,Female,Tier 2,Surat,Offline,Summer,Trousers,1750,1,1750,5,1662,3.8,8,Cash,One-time,0
TXN69545130,CUST393409,Zudio,18-24,Male,Tier 2,Vadodara,Offline,Summer,Ethnic Wear,1610,2,3220,15,2737,3.8,8,UPI,Frequent,1
TXN99636098,CUST315844,Zudio,25-34,Female,Tier 2,Surat,Offline,Festive,Jeans,1270,2,2540,25,1905,3.9,2,Wallet,One-time,0
TXN70399187,CUST798904,Westside,25-34,Male,Tier 1,Chennai,Offline,Festive,Shirts,1230,2,2460,10,2214,3.9,6,UPI,One-time,0
TXN91564701,CUST616610,Westside,18-24,Male,Tier 1,Kolkata,Offline,Monsoon,Shirts,1200,1,1200,30,840,4.8,9,UPI,Occasional,0
TXN98187194,CUST035551,Zudio,25-34,Female,Tier 3,Nashik,Offline,Festive,Shirts,870,1,870,25,652,3.8,12,Card,Regular,1
TXN21236383,CUST121749,Zudio,18-24,Female,Tier 1,Bengaluru,Offline,Festive,T-Shirts,610,2,1220,10,1098,4.3,5,Card,One-time,0
TXN24655827,CUST137907,Zudio,25-34,Female,Tier 2,Jaipur,Offline,Summer,Jeans,1420,1,1420,0,1420,4.7,7,UPI,Frequent,1
TXN90507229,CUST234262,Zudio,25-34,Male,Tier 1,Chennai,Online,Winter,Jeans,1370,1,1370,15,1164,4.0,20,Card,Occasional,1
TXN13113274,CUST964451,Westside,25-34,Male,Tier 2,Patna,Online,Summer,Shirts,1210,1,1210,30,847,3.9,11,UPI,Frequent,1
TXN96500851,CUST886752,Westside,25-34,Female,Tier 2,Lucknow,Offline,Monsoon,Accessories,560,1,560,25,420,5.0,6,UPI,Occasional,1
TXN57834675,CUST860831,Zudio,25-34,Male,Tier 1,Hyderabad,Online,Summer,Kids Wear,850,1,850,10,765,4.3,14,Wallet,One-time,0
TXN83221716,CUST243445,Zudio,35-44,Female,Tier 2,Nagpur,Offline,Summer,T-Shirts,640,1,640,10,576,4.5,4,UPI,One-time,0
TXN19529478,CUST123522,Zudio,35-44,Male,Tier 1,Kolkata,Offline,Monsoon,Jeans,1310,1,1310,20,1048,3.6,7,UPI,One-time,0
TXN00405380,CUST673250,Westside,45-54,Other,Tier 1,Chennai,Online,Winter,Kids Wear,1120,1,1120,5,1064,4.5,14,UPI,Regular,1
TXN36623476,CUST253604,Westside,18-24,Female,Tier 1,Pune,Offline,Festive,Shirts,1140,1,1140,20,912,4.5,6,Cash,Occasional,0
TXN09980806,CUST971845,Westside,18-24,Female,Tier 1,Mumbai,Offline,Festive,Shirts,1260,1,1260,15,1071,4.0,7,Card,Regular,1
TXN51256904,CUST545529,Westside,25-34,Male,Tier 2,Bhopal,Online,Festive,Dresses,2070,1,2070,20,1656,4.5,20,UPI,Regular,1
TXN10012332,CUST878748,Zudio,35-44,Male,Tier 1,Hyderabad,Online,Festive,Dresses,1470,2,2940,30,2058,4.3,20,Card,Regular,1
TXN38719916,CUST551897,Westside,25-34,Female,Tier 2,Indore,Offline,Festive,Kids Wear,1010,1,1010,20,808,4.2,7,UPI,Occasional,0
TXN13066433,CUST629094,Zudio,18-24,Male,Tier 1,Chennai,Offline,Festive,Jeans,1360,1,1360,25,1020,4.9,11,Card,Regular,1
TXN80589030,CUST497941,Zudio,25-34,Female,Tier 2,Jaipur,Online,Monsoon,Shirts,960,2,1920,10,1728,3.9,19,Wallet,One-time,0
TXN16971617,CUST769649,Zudio,25-34,Male,Tier 2,Bhopal,Offline,Winter,Shirts,880,1,880,30,616,4.0,8,UPI,Regular,1
TXN15916454,CUST331287,Zudio,18-24,Female,Tier 1,Chennai,Offline,Festive,T-Shirts,740,1,740,50,370,4.7,3,Card,Regular,1
TXN06215967,CUST642088,Zudio,25-34,Female,Tier 2,Bhopal,Online,Winter,Trousers,1280,1,1280,0,1280,4.6,20,Card,Regular,1
TXN78390408,CUST058079,Westside,25-34,Male,Tier 1,Delhi,Offline,Monsoon,T-Shirts,880,2,1760,0,1760,5.0,6,Wallet,One-time,0
TXN85969257,CUST882069,Westside,18-24,Female,Tier 2,Nagpur,Online,Festive,Dresses,2140,1,2140,25,1605,4.5,11,Wallet,One-time,0
TXN39082118,CUST528453,Westside,25-34,Female,Tier 3,Dehradun,Online,Summer,Shirts,1220,2,2440,0,2440,3.9,14,UPI,Occasional,1
TXN08407592,CUST817204,Zudio,25-34,Female,Tier 1,Hyderabad,Offline,Festive,T-Shirts,590,2,1180,15,1003,3.7,9,Cash,Occasional,1
TXN38785355,CUST190289,Zudio,35-44,Male,Tier 1,Kolkata,Offline,Festive,Jeans,1490,1,1490,30,1043,5.0,4,Card,One-time,0
TXN87739645,CUST182238,Westside,18-24,Male,Tier 2,Surat,Offline,Winter,Jeans,1720,3,5160,5,4902,3.2,9,Card,Occasional,0
TXN88249640,CUST252714,Zudio,35-44,Male,Tier 1,Delhi,Offline,Monsoon,Footwear,1180,2,2360,15,2006,4.0,4,Card,One-time,0
TXN34630516,CUST120426,Westside,45-54,Male,Tier 1,Kolkata,Offline,Winter,Trousers,1680,2,3360,0,3360,3.4,11,UPI,Occasional,0
TXN82792413,CUST107322,Westside,35-44,Male,Tier 2,Coimbatore,Offline,Summer,Trousers,1750,1,1750,15,1488,3.5,9,Cash,Occasional,1
TXN26200516,CUST054704,Zudio,25-34,Male,Tier 2,Coimbatore,Online,Summer,Ethnic Wear,1780,1,1780,5,1691,3.9,18,UPI,One-time,0
TXN26781903,CUST408309,Zudio,25-34,Male,Tier 3,Raipur,Offline,Festive,Dresses,1470,2,2940,30,2058,3.2,5,Wallet,One-time,0
TXN73486005,CUST801062,Zudio,25-34,Female,Tier 1,Pune,Online,Winter,Jeans,1500,1,1500,10,1350,4.2,11,Card,Regular,1
TXN65798741,CUST358387,Westside,25-34,Female,Tier 2,Jaipur,Offline,Festive,Footwear,1680,1,1680,30,1176,4.0,7,Cash,Occasional,0
TXN21012670,CUST579453,Zudio,35-44,Male,Tier 3,Jodhpur,Online,Festive,Shirts,800,1,800,15,680,3.9,15,Card,Regular,1
TXN22926161,CUST328340,Zudio,18-24,Male,Tier 1,Bengaluru,Offline,Winter,Shirts,770,1,770,15,654,4.4,7,UPI,Regular,1
TXN85145457,CUST502277,Zudio,45-54,Female,Tier 1,Bengaluru,Online,Monsoon,Accessories,500,1,500,15,425,3.7,21,UPI,Occasional,0
TXN38967359,CUST546004,Zudio,55+,Female,Tier 1,Ahmedabad,Offline,Winter,T-Shirts,590,1,590,30,413,3.9,6,UPI,One-time,0
TXN89337996,CUST502257,Westside,35-44,Male,Tier 2,Indore,Offline,Festive,Footwear,1760,1,1760,30,1232,3.8,7,Wallet,Occasional,0
TXN15352205,CUST110974,Westside,18-24,Female,Tier 2,Nagpur,Offline,Monsoon,Footwear,1660,2,3320,35,2158,4.3,9,Cash,One-time,0
TXN42960019,CUST369391,Westside,55+,Female,Tier 2,Vadodara,Online,Monsoon,Shirts,1280,2,2560,20,2048,4.2,15,NetBanking,Regular,1
TXN95813749,CUST987388,Zudio,25-34,Male,Tier 2,Jaipur,Offline,Festive,Dresses,1550,1,1550,30,1085,4.6,8,Cash,Regular,1
TXN18807566,CUST048765,Zudio,25-34,Male,Tier 1,Ahmedabad,Offline,Summer,Ethnic Wear,1660,1,1660,5,1577,5.0,7,Cash,Regular,1
TXN84059387,CUST648544,Zudio,25-34,Male,Tier 2,Surat,Online,Festive,Shirts,860,1,860,20,688,3.5,22,UPI,One-time,0
TXN62067408,CUST296726,Westside,18-24,Male,Tier 2,Vadodara,Offline,Summer,Jeans,1800,1,1800,20,1440,4.3,7,UPI,Occasional,0
TXN22853333,CUST562039,Westside,35-44,Female,Tier 1,Chennai,Online,Summer,Accessories,760,1,760,0,760,3.8,18,UPI,Occasional,0
TXN73825871,CUST176408,Westside,25-34,Male,Tier 1,Kolkata,Offline,Summer,Shirts,1260,1,1260,30,882,4.6,9,Card,Frequent,1
TXN63985313,CUST464329,Zudio,25-34,Male,Tier 3,Raipur,Offline,Summer,Ethnic Wear,1520,1,1520,15,1292,4.5,9,Card,One-time,0
TXN35222939,CUST726929,Zudio,35-44,Male,Tier 1,Delhi,Offline,Summer,Kids Wear,760,1,760,5,722,3.5,9,Cash,One-time,0
TXN47746318,CUST214905,Zudio,25-34,Female,Tier 1,Hyderabad,Offline,Festive,T-Shirts,660,1,660,25,495,5.0,6,Cash,Occasional,0
TXN01636522,CUST238453,Zudio,25-34,Female,Tier 1,Kolkata,Offline,Festive,Jeans,1410,1,1410,30,987,4.9,5,UPI,Frequent,1
TXN21080828,CUST301304,Zudio,35-44,Male,Tier 2,Bhopal,Offline,Monsoon,T-Shirts,610,2,1220,20,976,4.6,6,UPI,Occasional,0
TXN38826278,CUST947863,Zudio,25-34,Female,Tier 3,Ranchi,Offline,Festive,T-Shirts,740,1,740,30,518,4.2,7,Cash,Occasional,1
TXN50609325,CUST169443,Westside,55+,Male,Tier 1,Kolkata,Offline,Festive,Shirts,1170,1,1170,25,878,4.1,4,Cash,Regular,1
TXN54837541,CUST731180,Zudio,55+,Female,Tier 3,Gwalior,Offline,Festive,Accessories,560,2,1120,30,784,4.7,3,Card,Occasional,0
TXN10060926,CUST940440,Zudio,45-54,Male,Tier 1,Delhi,Offline,Winter,Jeans,1340,2,2680,5,2546,4.4,6,UPI,Regular,1
TXN06212936,CUST438761,Westside,25-34,Male,Tier 1,Hyderabad,Offline,Winter,Jeans,1850,1,1850,5,1758,4.3,6,UPI,Frequent,1
TXN44985069,CUST217342,Westside,25-34,Male,Tier 1,Bengaluru,Offline,Summer,Footwear,1620,1,1620,25,1215,4.4,4,UPI,One-time,0
TXN73307372,CUST710241,Westside,18-24,Female,Tier 3,Mysuru,Online,Winter,Trousers,1500,2,3000,0,3000,3.6,25,Card,Occasional,0
TXN74411163,CUST334860,Zudio,25-34,Male,Tier 1,Ahmedabad,Offline,Monsoon,T-Shirts,610,1,610,25,458,4.3,10,UPI,One-time,0
TXN48434530,CUST424213,Westside,25-34,Female,Tier 2,Bhopal,Offline,Monsoon,Ethnic Wear,2480,1,2480,20,1984,3.8,5,Card,Occasional,1
TXN10601299,CUST175924,Zudio,35-44,Female,Tier 2,Nagpur,Online,Festive,T-Shirts,640,1,640,20,512,3.2,18,NetBanking,One-time,0
TXN27021549,CUST215819,Zudio,18-24,Female,Tier 1,Kolkata,Offline,Monsoon,Accessories,460,1,460,0,460,4.4,5,UPI,One-time,0
TXN78854123,CUST488916,Zudio,18-24,Female,Tier 1,Bengaluru,Offline,Summer,Shirts,810,1,810,15,688,4.2,11,UPI,Occasional,1
TXN18865771,CUST594836,Zudio,18-24,Male,Tier 1,Mumbai,Offline,Summer,Footwear,1060,1,1060,15,901,4.2,7,Cash,Occasional,0
TXN71192977,CUST745871,Zudio,35-44,Female,Tier 2,Bhopal,Online,Festive,T-Shirts,610,1,610,40,366,3.7,21,UPI,Frequent,1
TXN65980296,CUST001070,Zudio,35-44,Female,Tier 1,Hyderabad,Offline,Monsoon,Shirts,890,1,890,15,756,3.9,12,Cash,One-time,0
TXN13116037,CUST051687,Zudio,18-24,Female,Tier 1,Pune,Offline,Monsoon,T-Shirts,690,1,690,40,414,4.1,6,Cash,Occasional,0
TXN97861939,CUST996451,Westside,18-24,Male,Tier 3,Gwalior,Offline,Winter,T-Shirts,870,1,870,5,826,4.2,5,Cash,Occasional,1
